Rank,Polish,English,IPA,Hint,Frequency
423,myślałam,I thought (fem.),/mɨɕˈla.wam/,mish-LAH-wam,56071
424,jedno,one,/ˈjɛd.nɔ/,YED-no,56031
425,idziemy,let’s go / we go,/iˈd͡ʑɛ.mʲɛ/,ee-JDYE-myeh,55806
426,również,also / too,/ˈrɔv.ɲɛʂ/,ROOV-nyehsh,55758
427,bądź,or / be (imperative),/bɔ̃d͡ʑ/,BAWNDZH,55385
428,znasz,you know,/znaʂ/,znash,55261
429,swój,your (masc.),/sfuj/,svooy,55229
430,swojego,your own (masc.),/ˈsfɔ.jɛ.ɡɔ/,sfo-YEH-go,54807
431,byś,you would,/bɨɕ/,bish,54807
432,chodźmy,let’s go,/ˈxɔd͡ʑ.mɨ/,HODZH-mih,54775
433,nowy,new,/ˈnɔ.vɨ/,NOH-vih,54491
434,chciałam,I wanted (fem.),/xʲt͡ɕaˈwam/,KHCHAH-wam,54472
435,pewien,a / certain,/ˈpɛ.vʲɛn/,PEH-vyen,54331
436,wczoraj,yesterday,/ˈft͡ʂɔ.raɪ/,FCHOR-ai,53998
437,jedną,one (fem.),/ˈjɛdnɔ̃/,YED-noh,53771
438,musiał,he had to,/ˈmuɕ.aw/,MOO-shaw,53691
439,której,which (fem.),/ˈktu.rɛj/,KTOO-rey,53540
440,idę,I’m going,/ˈi.dɛ/,EE-deh,53304
441,poważnie,seriously,/pɔˈvaʐ.ɲɛ/,po-VAZH-nyeh,53268
442,swoim,his own / theirs,/ˈsfɔ.jim/,sfo-yeem,53203
443,życiu,life / in life,/ˈʐɨ.t͡ɕu/,ZHIH-choo,53130
444,rozumiesz,you understand,/rɔˈzu.mʲɛʂ/,ro-ZOO-myesh,53130
445,których,which (pl.),/ˈktu.rɨx/,KTOO-rykh,52926
446,podczas,during / while,/pɔˈd.t͡ɕaʂ/,pod-CHAS,52846
447,miałam,I had (fem.),/ˈmʲa.wam/,MYAH-wam,52829
448,oczy,eyes,/ˈɔ.t͡ʂɨ/,OH-chih,52355
449,rano,in the morning,/ˈra.nɔ/,RAH-no,52355
450,sprawę,the matter / issue,/ˈspra.vɛ̃/,SPRAH-veh,52167
451,wystarczy,enough / it suffices,/ˈvɨs.t͡ʂa.rɨ/,VYS-tcha-zhih,52163
452,spokojnie,relax / calmly,/spɔˈkɔj.ɲɛ/,spo-KOY-nyeh,52140
453,całą,the whole (fem.),/ˈt͡sa.wɔ̃/,TSAH-wohng,52107
454,telefon,phone,/tɛˈlɛ.fɔn/,te-LEH-fon,52047
455,rzecz,thing / matter,/ʐɛt͡ʂ/,zhech,52028
456,matka,mother,/ˈmat.ka/,MAHT-kah,51599
457,samochód,car,/ˈsa.mɔ.xut/,SAH-mo-khood,51585
458,nimi,them,/ˈnʲi.mi/,NEE-mee,51542
459,dwóch,two,/dʊx/,dukh,51444
460,pracę,work / job,/ˈpra.t͡sɛ/,PRAH-tseh,51431
461,dać,to give,/dat͡ɕ/,dahch,51351
462,byli,they were,/ˈbɨ.lʲi/,BEE-lee,51328
463,powinienem,I should,/pɔ.vʲiˈɲɛ.nɛm/,po-vee-NYE-nehm,51140
464,weź,take (imperative),/vɛʂ/,vezh,50835
465,jedna,one (fem.),/ˈjɛd.na/,YED-nah,50797
466,zamknij,close (imperative),/ˈzamk.ɲij/,ZAHM-kneey,50773
467,the,the,/ðə/,thuh,50765
468,mały,small,/ˈma.wɨ/,MAH-wih,50312
469,da,yes / gives,/da/,dah,50123
470,pozwól,let me / allow,/ˈpɔz.wul/,POZ-vool,49943
471,całe,whole / entire,/ˈt͡sa.wɛ/,TSAH-leh,49918
472,wina,fault / guilt,/ˈvi.na/,VEE-nah,49907
473,wiedziałem,I knew (masc.),/vʲɛˈd͡ʑa.wam/,vye-JAH-wam,49744
474,wrócić,come back / return,/ˈvrut͡ɕit͡ɕ/,VROO-chich,49697
475,między,between,/ˈmʲɛnd͡zɨ/,MYEN-dzy,49415
476,chcą,they want,/xʲt͡ʂɔ̃/,KHCHAWNG,49319
477,idzie,goes / is going,/ˈi.d͡ʑɛ/,EE-djeh,49266
478,śmierci,death,/ˈɕmjɛr.t͡ɕi/,SHMYER-chee,49266
479,mówił,he said,/ˈmuvʲiw/,MOO-vyeew,49238
480,numer,number,/ˈnu.mɛr/,NOO-mehr,49237
481,oto,here / behold,/ˈɔ.tɔ/,OH-toh,48835
482,miejsca,places,/ˈmʲɛj͡s.t͡ʂa/,MYEH-stsah,48805
483,dopóki,until,/dɔˈpu.kʲi/,do-POO-kee,48722
484,czujesz,you feel,/ˈt͡ʂu.jɛʂ/,CHOO-yesh,48450
485,cokolwiek,whatever,/ˈt͡sɔ.kɔl.vjɛk/,tso-KOL-vyek,48428
486,swojej,your own (fem.),/ˈsfɔ.jɛj/,sfo-YEY,48403
487,nikogo,no one,/nʲiˈkɔ.ɡɔ/,nee-KOH-go,48390
488,dam,I will give,/dam/,dahm,48255
489,powiedziałeś,you said (masc.),/pɔ.vʲɛˈd͡ʑa.wɛɕ/,po-vye-JAH-wesh,48227
490,tłumaczenie,translation,/twu.maˈt͡ʂɛ.njɛ/,tloo-mah-CHEH-nyeh,48150
491,dziewczyna,girl,/d͡ʑɛvˈt͡ʂɨ.na/,djev-CHIH-nah,48121
492,najpierw,firstly / first,/najˈpʲɛrf/,nai-PYERF,47969
493,pamiętam,I remember,/paˈmjɛn.tam/,pah-MYEN-tam,47969
494,powiesz,you will say,/ˈpɔ.vʲɛʂ/,po-vyesh,47952
495,pytanie,question,/pɨˈta.ɲɛ/,puh-TAH-nyeh,47935
496,inaczej,otherwise / differently,/iˈnat͡ʂɛj/,ee-NAH-chey,47823
497,świecie,world / in the world,/ˈɕfjɛ.t͡ɕɛ/,shfyeh-CHEH,47523
498,znów,again,/znuv/,znoov,47447
499,wyglądasz,you look,/vɨˈɡwɔ̃.das/,vih-GWON-dash,47416
500,przynajmniej,at least,/pʂɨˈnajmɲɛj/,pshih‑NYEIM‑nyeh,47366
